#|sev|eco|pkg|manifest|scope|rel|cve|vuln_range|patched|summary
60|medium|npm|postcss|workers/pnpm-lock.yaml|development|transitive|CVE-2026-69153|<= 8.5.22|8.5.23|PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL read
29|medium|npm|postcss|frontend/pnpm-lock.yaml|development|transitive|CVE-2026-69153|<= 8.5.22|8.5.23|PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL read
65|medium|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-15157|>= 7.0.0, < 7.29.0|7.29.0|undici vulnerable to CRLF Injection via blob-like body 'type' property
64|medium|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-14643|>= 7.0.0, < 7.29.0|7.29.0|undici vulnerable to cross-user information disclosure via whitespace around equals in Cac
63|medium|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-16729|>= 7.0.0, < 7.29.0|7.29.0|undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCoo
62|medium|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-16728|>= 7.0.0, < 7.29.0|7.29.0|undici vulnerable to downstream response desynchronization via retry interceptor
47|medium|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-9679|>= 7.0.0, < 7.28.0|7.28.0|undici vulnerable to HTTP header injection via Set-Cookie percent-decoding
42|medium|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-9678|>= 7.0.0, < 7.28.0|7.28.0|undici vulnerable to cross-user information disclosure via shared cache whitespace bypass
40|medium|npm|vite|workers/pnpm-lock.yaml|development|transitive|CVE-2026-53632|<= 6.4.2|6.4.3|launch-editor: NTLMv2 hash disclosure via UNC path handling on Windows
36|medium|npm|vite|workers/pnpm-lock.yaml|development|transitive|CVE-2026-39365|<= 6.4.1|6.4.2|Vite Vulnerable to Path Traversal in Optimized Deps `.map` Handling
5|medium|npm|vite|frontend/pnpm-lock.yaml|development|direct|CVE-2026-53632|<= 6.4.2|6.4.3|launch-editor: NTLMv2 hash disclosure via UNC path handling on Windows
38|low|npm|esbuild|workers/pnpm-lock.yaml|development|transitive|GHSA-g7r4-m6w7-qqqr|>= 0.27.3, < 0.28.1|0.28.1|esbuild allows arbitrary file read when running the development server on Windows
33|low|npm|esbuild|poc/05_dedup_performance/pnpm-lock.yaml|development|transitive|GHSA-g7r4-m6w7-qqqr|>= 0.27.3, < 0.28.1|0.28.1|esbuild allows arbitrary file read when running the development server on Windows
48|low|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-11525|>= 7.0.0, < 7.28.0|7.28.0|undici vulnerable to Set-Cookie SameSite attribute downgrade via permissive substring matc
44|low|npm|undici|workers/pnpm-lock.yaml|runtime|transitive|CVE-2026-6733|>= 7.0.0, < 7.28.0|7.28.0|undici vulnerable to HTTP response queue poisoning via keep-alive socket reuse
